sid int,cid int
1,10
1,6
1,14
1,8
1,5
2,11
2,3
2,1
2,1
2,15
3,11
3,7
3,8
3,1
3,12
4,5
4,7
4,8
4,3
4,9
5,2
5,12
5,3
5,7
5,4
6,4
6,8
6,9
6,8
6,6
7,14
7,7
7,6
7,11
7,7
8,2
8,8
8,2
8,3
8,7
9,2
9,13
9,11
9,2
9,3
10,3
10,11
10,11
10,4
10,13
11,9
11,9
11,5
11,8
11,14
12,1
12,15
12,3
12,5
12,10
13,4
13,15
13,8
13,12
13,11
14,5
14,10
14,3
14,6
14,14
15,14
15,15
15,11
15,11
15,14
16,9
16,2
16,7
16,3
16,7
17,13
17,9
17,14
17,14
17,4
18,8
18,14
18,4
18,14
18,9
19,1
19,5
19,4
19,1
19,3
20,15
20,3
20,3
20,1
20,7
21,7
21,10
21,15
21,3
21,3
22,13
22,11
22,11
22,3
22,6
23,11
23,12
23,10
23,15
23,2
24,11
24,7
24,5
24,5
24,9
25,2
25,5
25,1
25,12
25,8
26,4
26,15
26,14
26,4
26,5
27,15
27,14
27,7
27,11
27,2
28,13
28,12
28,1
28,9
28,14
29,8
29,11
29,13
29,1
29,6
30,6
30,8
30,2
30,12
30,1
31,2
31,10
31,9
31,13
31,1
32,9
32,2
32,2
32,12
32,10
33,6
33,9
33,3
33,14
33,15
34,4
34,11
34,5
34,12
34,2
35,13
35,14
35,15
35,6
35,11
36,2
36,9
36,10
36,1
36,8
37,13
37,2
37,6
37,6
37,12
38,5
38,2
38,14
38,5
38,7
39,7
39,15
39,1
39,9
39,15
40,9
40,12
40,5
40,11
40,8
41,8
41,7
41,7
41,4
41,8
42,4
42,8
42,7
42,6
42,6
43,1
43,2
43,14
43,3
43,5
44,4
44,10
44,6
44,7
44,7
45,12
45,3
45,5
45,6
45,15
46,1
46,14
46,3
46,11
46,14
47,13
47,4
47,1
47,13
47,1
48,8
48,3
48,12
48,10
48,13
49,10
49,12
49,11
49,15
49,5
50,13
50,12
50,8
50,11
50,13
51,14
51,10
51,8
51,2
51,12
52,2
52,6
52,14
52,3
52,5
53,4
53,10
53,3
53,14
53,10
54,10
54,1
54,2
54,11
54,13
55,13
55,2
55,7
55,8
55,11
56,7
56,6
56,1
56,15
56,5
57,8
57,4
57,2
57,7
57,1
58,5
58,5
58,11
58,12
58,14
59,13
59,3
59,2
59,14
59,1
60,8
60,14
60,4
60,10
60,2
61,3
61,1
61,2
61,15
61,9
62,13
62,14
62,15
62,10
62,11
63,11
63,5
63,10
63,4
63,7
64,10
64,14
64,14
64,11
64,11
65,15
65,1
65,3
65,6
65,9
66,14
66,3
66,11
66,13
66,14
67,7
67,15
67,14
67,3
67,15
68,10
68,9
68,9
68,6
68,1
69,4
69,6
69,6
69,9
69,4
70,7
70,13
70,6
70,9
70,10
71,14
71,6
71,15
71,4
71,5
72,12
72,1
72,6
72,3
72,13
73,2
73,12
73,15
73,15
73,3
74,4
74,6
74,7
74,2
74,14
75,12
75,4
75,10
75,3
75,12
76,2
76,1
76,15
76,10
76,9
77,6
77,5
77,9
77,14
77,6
78,10
78,2
78,5
78,7
78,9
79,10
79,2
79,9
79,5
79,7
80,12
80,10
80,4
80,14
80,6
81,3
81,3
81,14
81,15
81,6
82,13
82,15
82,14
82,4
82,7
83,14
83,15
83,8
83,14
83,1
84,2
84,13
84,11
84,4
84,11
85,15
85,8
85,15
85,8
85,6
86,12
86,14
86,7
86,5
86,11
87,12
87,4
87,8
87,15
87,14
88,15
88,5
88,1
88,5
88,5
89,14
89,11
89,12
89,3
89,13
90,15
90,7
90,2
90,15
90,9
91,3
91,1
91,15
91,9
91,15
92,12
92,11
92,15
92,15
92,15
93,9
93,9
93,11
93,6
93,15
94,3
94,13
94,2
94,10
94,5
95,9
95,14
95,14
95,4
95,11
96,6
96,1
96,4
96,7
96,10
97,9
97,11
97,14
97,15
97,12
98,10
98,7
98,7
98,12
98,3
99,15
99,1
99,15
99,2
99,15
100,9
100,6
100,11
100,3
100,9
101,8
101,7
101,14
101,1
101,4
102,3
102,8
102,14
102,15
102,13
103,11
103,14
103,7
103,15
103,2
104,13
104,10
104,14
104,8
104,7
105,4
105,15
105,12
105,1
105,2
106,3
106,8
106,9
106,1
106,1
107,11
107,12
107,2
107,13
107,9
108,10
108,10
108,15
108,9
108,15
109,12
109,2
109,14
109,13
109,12
110,4
110,4
110,14
110,5
110,2
111,3
111,3
111,12
111,1
111,4
112,9
112,5
112,9
112,3
112,4
113,6
113,5
113,9
113,7
113,1
114,5
114,9
114,7
114,14
114,8
115,9
115,8
115,6
115,6
115,11
116,8
116,4
116,6
116,2
116,3
117,6
117,2
117,2
117,14
117,4
118,15
118,14
118,11
118,2
118,13
119,14
119,2
119,7
119,5
119,9
120,9
120,4
120,7
120,5
120,4
121,3
121,10
121,6
121,5
121,3
122,4
122,12
122,13
122,7
122,14
123,9
123,15
123,12
123,1
123,1
124,6
124,9
124,11
124,5
124,11
125,12
125,11
125,13
125,14
125,14
126,14
126,15
126,1
126,3
126,10
127,5
127,15
127,8
127,3
127,9
128,15
128,5
128,8
128,15
128,12
129,3
129,14
129,5
129,7
129,9
130,6
130,2
130,4
130,11
130,7
131,6
131,4
131,7
131,5
131,8
132,9
132,3
132,15
132,9
132,8
133,7
133,11
133,8
133,3
133,11
134,11
134,4
134,13
134,8
134,11
135,14
135,7
135,10
135,6
135,4
136,5
136,7
136,7
136,6
136,4
137,1
137,1
137,9
137,13
137,11
138,8
138,14
138,12
138,10
138,7
139,9
139,8
139,8
139,6
139,7
140,14
140,10
140,3
140,3
140,6
141,5
141,14
141,6
141,12
141,3
142,15
142,2
142,10
142,2
142,1
143,12
143,15
143,10
143,3
143,13
144,9
144,6
144,12
144,2
144,5
145,6
145,14
145,7
145,5
145,5
146,15
146,8
146,3
146,12
146,4
147,1
147,10
147,1
147,13
147,2
148,12
148,15
148,8
148,3
148,14
149,14
149,11
149,14
149,9
149,14
150,1
150,10
150,11
150,4
150,11
151,9
151,13
151,15
151,10
151,7
152,2
152,4
152,14
152,4
152,9
153,15
153,13
153,12
153,5
153,15
154,9
154,8
154,8
154,8
154,13
155,10
155,15
155,13
155,5
155,15
156,6
156,10
156,2
156,15
156,2
157,10
157,12
157,5
157,7
157,12
158,13
158,10
158,1
158,10
158,9
159,3
159,6
159,11
159,12
159,11
160,11
160,15
160,11
160,4
160,8
161,4
161,9
161,9
161,4
161,4
162,7
162,14
162,15
162,2
162,14
163,15
163,4
163,12
163,11
163,6
164,5
164,10
164,15
164,12
164,2
165,7
165,10
165,11
165,5
165,11
166,13
166,10
166,9
166,9
166,12
167,15
167,4
167,7
167,8
167,3
168,1
168,15
168,6
168,6
168,12
169,13
169,2
169,1
169,5
169,10
170,9
170,14
170,10
170,12
170,7
171,8
171,5
171,6
171,13
171,13
172,6
172,1
172,1
172,2
172,1
173,4
173,11
173,5
173,4
173,3
174,13
174,11
174,14
174,12
174,13
175,2
175,14
175,11
175,11
175,3
176,5
176,8
176,10
176,9
176,4
177,13
177,2
177,15
177,10
177,15
178,8
178,10
178,5
178,9
178,5
179,11
179,1
179,6
179,15
179,11
180,12
180,10
180,2
180,5
180,14
181,11
181,12
181,14
181,7
181,2
182,8
182,15
182,7
182,6
182,7
183,13
183,7
183,10
183,4
183,12
184,12
184,10
184,14
184,13
184,15
185,8
185,4
185,10
185,5
185,8
186,9
186,3
186,1
186,5
186,9
187,13
187,3
187,15
187,2
187,13
188,15
188,11
188,7
188,5
188,14
189,10
189,14
189,12
189,10
189,15
190,12
190,12
190,8
190,11
190,14
191,11
191,15
191,1
191,15
191,9
192,11
192,8
192,7
192,5
192,15
193,6
193,14
193,7
193,6
193,12
194,6
194,2
194,10
194,6
194,9
195,10
195,13
195,7
195,11
195,1
196,6
196,10
196,1
196,6
196,3
197,7
197,2
197,5
197,4
197,4
198,15
198,15
198,12
198,14
198,14
199,4
199,14
199,8
199,1
199,4
200,2
200,10
200,7
200,15
200,10
